,month,temp,RH,wind,rain,area
0,7,8.2,51,6.7,0.0,0
1,10,18.0,33,0.9,0.0,0
2,10,14.6,33,1.3,0.0,0
3,7,8.3,97,4.0,0.2,0
4,7,11.4,99,1.8,0.0,0
5,1,22.2,29,5.4,0.0,0
6,1,24.1,27,3.1,0.0,0
7,1,8.0,86,2.2,0.0,0
8,11,13.1,63,5.4,0.0,0
9,11,22.8,40,4.0,0.0,0
10,11,17.8,51,7.2,0.0,0
11,11,19.3,38,4.0,0.0,0
12,1,17.0,72,6.7,0.0,0
13,11,21.3,42,2.2,0.0,0
14,11,26.4,21,4.5,0.0,0
15,11,22.9,44,5.4,0.0,0
16,7,15.1,27,5.4,0.0,0
17,10,16.7,47,4.9,0.0,0
18,7,15.9,35,4.0,0.0,0
19,0,9.3,44,4.5,0.0,0
20,11,18.3,40,2.7,0.0,0
21,11,19.1,38,2.7,0.0,0
22,6,21.0,44,4.5,0.0,0
23,1,19.5,43,5.8,0.0,0
24,1,23.7,32,5.8,0.0,0
25,1,16.3,60,5.4,0.0,0
26,11,19.0,34,5.8,0.0,0
27,11,19.4,48,1.3,0.0,0
28,11,30.2,24,2.7,0.0,0
29,11,22.8,39,3.6,0.0,0
30,11,25.4,24,3.6,0.0,0
31,11,11.2,78,7.6,0.0,0
32,11,20.6,37,1.8,0.0,0
33,11,17.7,39,3.6,0.0,0
34,11,21.2,32,2.7,0.0,0
35,11,18.2,62,4.5,0.0,0
36,10,21.7,24,4.5,0.0,0
37,10,11.3,60,5.4,0.0,0
38,10,17.8,27,4.0,0.0,0
39,7,14.1,43,2.7,0.0,0
40,5,23.3,37,3.1,0.0,0
41,1,18.4,42,6.7,0.0,0
42,1,16.6,54,5.4,0.0,0
43,11,19.6,48,2.7,0.0,0
44,11,12.9,74,4.9,0.0,0
45,11,25.9,24,4.0,0.0,0
46,11,14.7,70,3.6,0.0,0
47,5,23.0,36,3.1,0.0,0
48,7,11.8,35,1.8,0.0,0
49,7,11.0,46,5.8,0.0,0
50,11,20.8,17,1.3,0.0,0
51,1,21.5,34,2.2,0.0,0
52,1,20.4,42,4.9,0.0,0
53,1,20.4,42,4.9,0.0,0
54,1,17.6,45,3.6,0.0,0
55,11,27.7,24,2.2,0.0,0
56,11,17.8,63,4.9,0.0,0
57,10,13.8,50,2.7,0.0,0
58,3,13.9,40,5.4,0.0,0
59,3,12.3,51,0.9,0.0,0
60,7,11.5,39,5.8,0.0,0
61,7,5.5,59,6.3,0.0,0
62,1,18.8,35,4.9,0.0,0
63,1,20.8,33,2.7,0.0,0
64,1,23.1,31,3.1,0.0,0
65,1,18.6,44,4.5,0.0,0
66,11,23.0,37,4.5,0.0,0
67,11,19.6,33,5.4,0.0,0
68,11,19.6,33,6.3,0.0,0
69,7,17.2,26,4.5,0.0,0
70,7,15.8,27,7.6,0.0,0
71,11,17.7,37,3.6,0.0,0
72,7,15.6,25,6.3,0.0,0
73,1,17.3,43,4.5,0.0,0
74,11,27.6,30,1.3,0.0,0
75,3,6.7,79,3.1,0.0,0
76,3,15.7,43,3.1,0.0,0
77,7,8.3,72,3.1,0.0,0
78,1,14.7,66,2.7,0.0,0
79,1,21.6,19,6.7,0.0,0
80,1,19.5,39,6.3,0.0,0
81,1,17.9,44,2.2,0.0,0
82,1,18.6,51,4.5,0.0,0
83,1,16.6,47,0.9,0.0,0
84,1,20.2,45,3.6,0.0,0
85,11,21.5,15,0.9,0.0,0
86,11,25.4,27,2.2,0.0,0
87,11,22.4,34,2.2,0.0,0
88,11,25.3,36,3.6,0.0,0
89,7,17.4,25,4.9,0.0,0
90,1,14.7,59,5.8,0.0,0
91,7,17.4,24,5.4,0.0,0
92,1,20.8,32,6.3,0.0,0
93,1,18.2,43,4.9,0.0,0
94,1,23.4,22,2.7,0.0,0
95,11,17.8,64,1.3,0.0,0
96,3,12.7,48,1.8,0.0,0
97,7,17.4,24,5.4,0.0,0
98,1,11.6,87,4.5,0.0,0
99,1,19.8,39,5.4,0.0,0
100,1,19.8,39,5.4,0.0,0
101,1,14.4,66,5.4,0.0,0
102,1,20.1,40,4.0,0.0,0
103,11,24.1,29,4.5,0.0,0
104,4,5.3,78,3.1,0.0,0
105,7,12.7,52,6.3,0.0,0
106,7,18.2,29,3.1,0.0,0
107,1,21.4,33,3.1,0.0,0
108,11,20.3,45,3.1,0.0,0
109,11,17.4,56,5.4,0.0,0
110,7,13.7,43,5.8,0.0,0
111,7,18.8,18,4.5,0.0,0
112,11,22.8,39,3.6,0.0,0
113,11,18.9,35,2.7,0.0,0
114,7,15.8,27,7.6,0.0,0
115,7,15.5,27,6.3,0.0,0
116,7,11.6,30,6.3,0.0,0
117,7,15.2,27,4.9,0.0,0
118,7,10.6,30,4.0,0.0,0
119,1,19.6,36,3.1,0.0,0
120,1,10.3,74,2.2,0.0,0
121,1,17.1,43,5.4,0.0,0
122,11,22.5,42,5.4,0.0,0
123,11,17.9,45,3.1,0.0,0
124,11,19.8,50,5.4,0.0,0
125,10,20.6,24,5.4,0.0,0
126,7,9.0,49,2.2,0.0,0
127,11,17.2,43,3.1,0.0,0
128,10,15.9,46,3.6,0.0,0
129,10,15.4,35,0.9,0.0,0
130,3,15.4,40,2.7,0.0,0
131,7,14.0,39,3.1,0.0,0
132,7,10.6,46,4.9,0.0,0
133,11,17.6,42,3.1,0.0,0
134,7,14.9,38,2.7,0.0,0
135,1,17.6,52,5.8,0.0,0
136,11,17.2,58,1.3,0.0,0
137,11,15.6,66,3.1,0.0,0
138,5,18.0,42,2.7,0.0,1
139,11,21.7,38,2.2,0.0,1
140,11,21.9,39,1.8,0.0,1
141,1,23.3,31,4.5,0.0,1
143,5,16.6,53,5.4,0.0,1
144,1,23.8,32,5.4,0.0,1
145,1,27.4,22,4.0,0.0,1
146,7,13.2,40,5.4,0.0,1
147,11,24.2,28,3.6,0.0,1
148,1,17.4,43,6.7,0.0,1
149,11,23.7,25,4.5,0.0,1
150,6,23.2,39,5.4,0.0,1
151,5,24.8,29,2.2,0.0,1
152,5,24.6,43,1.8,0.0,1
153,11,20.1,47,4.9,0.0,1
154,11,29.6,27,2.7,0.0,1
155,1,16.4,47,1.3,0.0,1
156,11,28.6,27,2.2,0.0,1
157,1,18.4,45,3.6,0.0,1
158,1,20.5,35,4.0,0.0,1
159,11,19.0,34,5.8,0.0,1
160,7,16.1,29,3.1,0.0,1
161,1,20.3,41,4.0,0.0,1
163,11,17.8,56,1.8,0.0,1
164,11,17.8,67,2.2,0.0,1
165,7,5.3,70,4.5,0.0,1
166,1,16.6,47,0.9,0.0,1
167,1,23.4,33,4.5,0.0,1
169,1,20.7,45,2.2,0.0,1
170,11,21.9,35,1.8,0.0,1
171,1,17.4,50,4.0,0.0,1
172,1,20.1,39,5.4,0.0,1
173,11,17.7,39,2.2,0.0,1
174,1,14.2,53,1.8,0.0,1
175,1,20.3,39,4.9,0.0,1
176,0,5.8,54,5.8,0.0,1
177,1,19.2,44,2.7,0.0,1
178,11,18.3,45,2.2,0.0,1
179,1,14.4,66,5.4,0.0,1
180,11,23.9,32,6.7,0.0,1
181,10,19.1,32,4.0,0.0,1
182,3,12.4,53,2.2,0.0,1
183,10,16.8,45,4.5,0.0,1
184,1,20.8,34,4.9,0.0,1
185,11,17.6,46,3.1,0.0,1
186,7,11.5,39,5.8,0.0,1
187,11,21.0,42,2.2,0.0,1
188,7,13.3,42,0.9,0.0,1
189,7,11.5,60,4.0,0.0,1
190,7,11.7,33,4.0,0.0,1
191,1,24.2,28,2.7,0.0,1
192,1,24.6,22,4.5,0.0,1
193,11,24.3,25,4.0,0.0,1
194,1,24.6,22,4.5,0.0,1
195,1,23.5,36,5.4,0.0,1
196,0,5.8,54,5.8,0.0,1
197,11,21.5,15,0.9,0.0,1
198,11,13.9,59,6.3,0.0,1
199,11,22.6,38,3.6,0.0,1
200,11,21.6,33,2.2,0.0,1
201,7,12.4,54,3.6,0.0,1
202,3,8.8,68,2.2,0.0,1
203,10,20.2,37,2.7,0.0,1
204,7,15.1,64,4.0,0.0,1
205,11,22.1,34,1.8,0.0,1
206,1,22.9,31,7.2,0.0,1
207,11,20.7,37,2.2,0.0,1
208,11,19.6,33,6.3,0.0,1
209,11,23.2,26,4.9,0.0,1
210,10,18.4,25,3.1,0.0,1
211,1,5.1,96,5.8,0.0,1
212,11,20.1,47,4.9,0.0,1
213,7,11.0,46,5.8,0.0,1
214,7,17.0,27,4.9,0.0,1
215,7,17.0,27,4.9,0.0,1
216,11,16.9,60,1.3,0.0,1
217,11,12.4,73,6.3,0.0,1
218,11,19.4,19,1.3,0.0,1
219,7,15.2,27,3.1,0.0,1
220,1,16.2,59,3.1,0.0,1
221,11,18.6,49,3.6,0.0,1
222,7,11.0,46,5.8,0.0,1
223,5,13.4,79,3.6,0.0,1
224,11,15.4,57,4.5,0.0,1
225,11,22.9,39,4.9,0.0,1
226,10,16.1,44,4.0,0.0,1
227,1,20.1,34,4.5,0.0,1
228,11,28.3,26,3.1,0.0,1
229,1,16.4,43,4.0,0.0,1
230,11,26.4,21,4.5,0.0,1
231,11,27.8,27,3.1,0.0,1
232,11,18.7,43,2.7,0.0,1
233,11,24.3,36,3.1,0.0,1
234,11,17.7,25,3.1,0.0,1
235,1,19.6,41,5.8,0.0,1
236,11,18.2,46,1.8,0.0,1
237,11,18.8,40,2.2,0.0,1
238,11,25.1,27,4.0,0.0,1
239,0,13.4,75,1.8,0.0,0
240,0,15.2,51,2.7,0.0,0
241,0,16.7,20,3.1,0.0,0
242,1,15.4,66,4.0,0.0,1
243,1,21.9,73,7.6,1.0,0
244,1,22.4,54,7.6,0.0,1
245,1,26.8,38,6.3,0.0,1
246,1,25.7,39,5.4,0.0,1
247,1,20.7,70,2.2,0.0,1
248,1,28.7,28,2.7,0.0,0
249,1,21.7,40,0.4,0.0,1
250,1,26.8,25,3.1,0.0,1
251,1,24.0,36,3.1,0.0,1
252,1,22.1,37,3.6,0.0,1
253,1,21.4,38,2.7,0.0,1
254,1,18.9,41,3.1,0.0,1
255,1,22.3,46,4.0,0.0,0
256,1,23.9,41,2.2,0.0,1
257,1,21.4,44,2.7,0.0,1
258,1,20.6,59,0.9,0.0,0
259,1,23.7,40,1.8,0.0,1
260,1,28.3,32,4.0,0.0,1
261,1,11.2,84,7.6,0.0,1
262,1,21.4,42,3.1,0.0,1
263,1,19.3,39,3.6,0.0,1
264,1,21.8,53,3.1,0.0,1
265,1,22.1,54,7.6,0.0,1
266,1,19.4,55,4.0,0.0,1
267,1,23.7,24,3.1,0.0,0
268,1,21.0,32,3.1,0.0,0
269,1,19.1,53,2.7,0.0,1
270,1,21.8,56,3.1,0.0,1
271,1,20.1,58,4.5,0.0,1
272,1,20.2,47,4.0,0.0,1
274,2,5.1,61,8.0,0.0,1
275,2,5.1,61,4.9,0.0,1
280,2,2.2,59,4.9,0.0,1
282,3,4.2,51,4.0,0.0,0
283,3,8.8,35,3.1,0.0,1
284,3,7.5,46,8.0,0.0,1
285,5,23.4,40,6.3,0.0,0
286,5,12.6,90,7.6,0.2,0
287,5,22.1,49,2.7,0.0,0
288,5,24.2,32,1.8,0.0,0
289,5,24.3,30,1.8,0.0,0
290,5,18.7,53,1.8,0.0,0
291,5,25.3,39,0.9,0.0,1
292,5,22.9,40,1.3,0.0,1
293,5,26.9,28,5.4,0.0,1
294,5,17.1,67,3.6,0.0,1
295,6,22.2,48,1.3,0.0,0
296,6,14.3,46,1.8,0.0,1
297,6,15.4,45,2.2,0.0,0
298,6,19.6,43,4.9,0.0,0
299,6,10.6,90,2.7,0.0,0
300,6,20.7,25,4.9,0.0,0
301,6,19.1,39,5.4,0.0,1
302,6,19.2,38,4.5,0.0,0
303,6,19.2,38,4.5,0.0,0
304,8,11.3,94,4.9,0.0,0
305,11,19.0,52,2.2,0.0,0
306,11,17.1,53,5.4,0.0,1
307,11,23.8,35,3.6,0.0,1
308,11,16.0,45,1.8,0.0,0
309,11,24.9,27,2.2,0.0,0
310,11,25.3,27,2.7,0.0,0
311,11,24.8,28,1.8,0.0,1
312,11,12.2,78,6.3,0.0,0
313,11,24.3,27,4.9,0.0,0
314,11,19.7,41,1.8,0.0,1
315,11,18.5,30,2.7,0.0,0
316,11,18.6,24,5.8,0.0,0
317,11,19.2,24,4.9,0.0,1
318,11,21.6,27,2.2,0.0,0
319,11,21.6,28,6.3,0.0,1
320,11,18.9,34,7.2,0.0,1
321,11,16.8,28,4.0,0.0,1
322,11,16.8,28,4.0,0.0,1
323,11,12.9,39,2.7,0.0,1
324,11,13.7,56,1.8,0.0,1
325,11,24.2,27,3.1,0.0,0
326,11,24.1,27,3.1,0.0,0
327,11,21.2,32,2.2,0.0,0
328,11,19.7,35,1.8,0.0,0
329,11,23.5,27,4.0,0.0,1
330,11,24.2,27,3.1,0.0,1
331,11,21.5,28,4.5,0.0,1
332,11,17.1,41,2.2,0.0,1
333,11,18.1,54,3.1,0.0,1
334,11,18.0,51,5.4,0.0,0
335,11,9.8,86,1.8,0.0,0
336,11,19.3,44,2.2,0.0,0
337,11,23.0,34,2.2,0.0,1
338,11,22.7,35,2.2,0.0,1
339,11,20.4,41,1.8,0.0,1
340,11,19.3,44,2.2,0.0,1
341,11,15.7,51,2.2,0.0,0
342,11,20.6,37,1.8,0.0,0
343,11,15.9,51,4.5,0.0,1
344,11,12.2,66,4.9,0.0,1
345,11,16.8,43,3.1,0.0,1
346,11,21.3,35,2.2,0.0,1
347,11,10.1,75,3.6,0.0,0
348,11,17.4,57,4.5,0.0,0
349,11,12.8,64,3.6,0.0,1
350,11,10.1,75,3.6,0.0,1
351,11,15.4,53,6.3,0.0,1
352,11,20.6,43,3.6,0.0,1
353,11,19.8,47,2.7,0.0,1
354,11,18.7,50,2.2,0.0,1
355,11,20.8,35,4.9,0.0,1
356,11,20.8,35,4.9,0.0,1
357,11,15.9,55,3.6,0.0,0
358,11,19.7,39,2.7,0.0,0
359,11,21.1,39,2.2,0.0,1
360,11,18.4,42,2.2,0.0,1
361,11,17.3,45,4.0,0.0,1
362,11,15.2,64,3.1,0.0,1
363,11,15.9,53,2.2,0.0,1
364,11,21.1,35,2.7,0.0,1
365,11,19.6,45,3.1,0.0,1
366,11,15.9,38,5.4,0.0,1
367,11,16.4,27,3.6,0.0,0
368,11,16.8,47,4.9,0.0,1
369,11,13.8,77,7.6,0.0,0
370,11,13.8,77,7.6,0.0,1
371,5,14.2,58,4.0,0.0,0
372,1,10.4,75,0.9,0.0,0
373,1,20.3,42,2.7,0.0,0
374,11,10.3,78,4.0,0.0,1
375,11,15.4,57,4.9,0.0,1
376,1,21.1,54,2.2,0.0,0
377,1,21.9,42,2.2,0.0,1
378,7,8.7,51,5.8,0.0,0
379,4,5.2,100,0.9,0.0,0
380,5,19.3,39,7.2,0.0,1
381,1,16.2,63,2.7,0.0,1
382,1,28.2,29,1.8,0.0,1
383,1,20.5,58,2.7,0.0,1
384,1,21.3,44,4.5,0.0,1
385,1,20.9,50,2.2,0.0,1
386,11,20.6,55,5.4,0.0,1
387,7,11.6,48,5.4,0.0,0
388,1,23.3,34,3.1,0.0,1
389,1,23.3,34,3.1,0.0,0
390,3,7.5,71,6.3,0.0,1
391,11,20.7,46,2.7,0.0,1
392,11,21.9,43,4.0,0.0,1
393,7,15.2,19,7.6,0.0,0
394,3,5.3,68,1.8,0.0,0
395,3,10.1,62,1.8,0.0,1
396,11,20.4,55,4.9,0.0,1
397,1,24.3,33,3.6,0.0,1
398,1,25.9,32,3.1,0.0,0
399,6,28.0,34,4.5,0.0,0
400,6,28.0,34,4.5,0.0,1
401,11,22.8,46,4.0,0.0,1
402,1,25.0,36,4.0,0.0,0
403,1,21.3,41,3.6,0.0,0
404,11,21.8,34,2.2,0.0,1
405,1,27.9,27,2.2,0.0,0
406,11,17.0,67,4.9,0.0,1
407,3,14.2,46,4.0,0.0,0
408,11,19.9,44,3.1,0.0,1
409,5,23.4,31,5.4,0.0,0
410,3,14.7,42,2.7,0.0,0
412,5,22.8,27,4.5,0.0,1
413,1,26.4,33,3.6,0.0,0
414,1,24.1,50,4.0,0.0,0
415,1,27.5,27,4.9,0.0,1
416,5,26.3,39,3.1,0.0,1
417,7,13.8,24,5.8,0.0,0
418,1,24.9,42,5.4,0.0,1
419,1,24.8,36,4.0,0.0,1
420,1,26.2,36,4.5,0.0,1
421,1,30.8,19,4.5,0.0,0
422,5,29.3,27,3.6,0.0,1
423,11,22.3,48,4.0,0.0,1
424,1,26.9,31,3.6,0.0,1
425,1,20.4,56,2.2,0.0,0
426,1,20.4,56,2.2,0.0,0
427,1,27.9,33,2.2,0.0,1
428,1,26.2,34,5.8,0.0,0
429,1,24.6,44,4.0,0.0,1
430,11,19.4,45,3.6,0.0,0
431,1,23.3,40,4.0,0.0,1
432,1,23.9,38,6.7,0.0,0
433,1,20.9,66,4.9,0.0,1
434,1,22.2,45,3.6,0.0,0
435,5,23.8,51,1.8,0.0,0
436,1,26.8,35,1.3,0.0,1
437,1,14.2,73,2.7,0.0,0
438,1,23.6,53,4.0,0.0,1
439,11,19.1,46,2.2,0.0,1
440,11,16.2,58,3.6,0.0,0
441,1,25.5,29,1.8,0.0,1
442,0,10.9,64,3.1,0.0,1
443,5,14.8,78,8.0,0.0,0
444,11,16.2,58,3.6,0.0,1
445,1,17.3,80,4.5,0.0,0
446,1,19.1,70,2.2,0.0,0
447,7,8.9,35,8.0,0.0,0
448,11,10.5,77,4.0,0.0,0
449,1,19.3,61,4.9,0.0,0
450,1,23.4,49,5.4,0.0,1
451,1,11.8,88,4.9,0.0,1
452,1,17.7,65,4.0,0.0,0
453,1,17.4,54,3.1,0.0,0
454,1,16.8,56,3.1,0.0,0
455,5,17.9,48,2.7,0.0,0
456,1,16.6,59,2.7,0.0,0
457,1,19.9,50,4.0,0.0,1
458,1,18.9,64,4.9,0.0,1
459,1,15.5,72,8.0,0.0,1
460,1,18.9,64,4.9,0.0,0
461,1,18.9,64,4.9,0.0,0
462,11,14.5,76,7.6,0.0,1
463,3,4.6,82,6.3,0.0,1
464,3,5.1,77,5.4,0.0,1
465,3,4.6,59,0.9,0.0,1
466,7,10.2,45,5.8,0.0,1
467,7,11.2,41,5.4,0.0,1
468,7,13.3,27,3.6,0.0,1
470,0,17.6,27,5.8,0.0,0
471,8,18.0,40,4.0,0.0,1
472,6,14.3,79,4.0,0.0,1
473,6,24.5,50,3.1,0.0,1
474,6,26.4,35,2.7,0.0,1
476,5,27.2,28,1.3,0.0,1
477,5,26.1,45,4.0,0.0,1
478,5,18.2,82,4.5,0.0,1
479,5,22.6,57,4.9,0.0,1
480,5,30.2,25,4.5,0.0,1
481,5,30.2,22,4.9,0.0,0
482,1,23.4,40,5.8,0.0,1
483,1,31.0,27,5.4,0.0,0
484,1,33.1,25,4.0,0.0,1
485,1,30.6,28,3.6,0.0,1
486,1,24.1,43,6.3,0.0,1
487,1,26.4,34,3.6,0.0,1
488,1,19.4,71,7.6,0.0,1
489,1,20.6,58,1.3,0.0,0
490,1,28.7,33,4.0,0.0,0
491,1,32.4,21,4.5,0.0,0
492,1,32.4,27,2.2,0.0,0
493,1,27.5,29,4.5,0.0,1
494,1,30.8,30,4.9,0.0,1
495,1,23.9,42,2.2,0.0,0
496,1,32.6,26,3.1,0.0,1
497,1,32.3,27,2.2,0.0,1
498,1,33.3,26,2.7,0.0,1
499,1,27.3,63,4.9,6.4,1
500,1,21.6,65,4.9,0.8,0
501,1,21.6,65,4.9,0.8,0
502,1,20.7,69,4.9,0.4,0
503,1,29.2,30,4.9,0.0,1
504,1,28.9,29,4.9,0.0,1
505,1,26.7,35,1.8,0.0,1
507,1,25.9,41,3.6,0.0,0
508,1,25.9,41,3.6,0.0,0
509,1,21.1,71,7.6,1.4,1
510,1,18.2,62,5.4,0.0,1
511,1,27.8,35,2.7,0.0,0
512,1,27.8,32,2.7,0.0,1
513,1,21.9,71,5.8,0.0,1
514,1,21.2,70,6.7,0.0,1
515,1,25.6,42,4.0,0.0,0
516,9,11.8,31,4.5,0.0,0
